name,rank
AC/DC,69
Khalid,70
Travis Scott,71
Miranda Lambert,72
Pop Smoke,73
Muni Long,74
Carrie Underwood,75
Foo Fighters,79
Papa Roach,80
Eagles,81
Nicki Minaj,82
Stray Kids,83
Creedence Clearwater Revival,84
The Notorious B.I.G.,85
HARDY,86
Dr. Dre,87
Anderson .Paak,88
Carrie Underwood,94
The Chainsmokers,95
HARDY,96
Michael Jackson,97
Ava Max,98
Gabby Barrett,99
Em Beihold,100
Eagles,76
Dolly Parton,77
Dr. Dre,78
Creedence Clearwater Revival,79
Lil Tjay,80
Tame Impala,89
Gabby Barrett,90
Michael Jackson,91
Fivio Foreign,92
Lewis Capaldi,93
Em Beihold,94
Pavement,95
Dove Cameron,96
Lauren Spencer-Smith,81
Stephanie Beatriz,82
Lil Uzi Vert,83
Michael Buble,84
Lewis Capaldi,85
Rod Wave,86
Marvin Gaye,87
Camila Cabello,88
HARDY,89
Gabby Barrett,90
Joe Satriani,97
Machine Gun Kelly,98
Lee Brice,99
Led Zeppelin,100
Michael Jackson,91
Prince,92
Em Beihold,93
Dove Cameron,94
Ghost,95
Lee Brice,96
Lana Del Rey,97
Maroon 5,98
Chris Brown,99
The Notorious B.I.G.,100
